iter	Passed	Remaining
0	166	83265
1	195	48596
2	221	36688
3	248	30836
4	276	27422
5	286	23573
6	309	21825
7	335	20636
8	363	19805
9	388	19026
10	412	18335
11	440	17926
12	469	17581
13	496	17235
14	524	16961
15	552	16714
16	578	16441
17	593	15880
18	617	15642
19	642	15409
20	668	15242
21	695	15107
22	719	14922
23	751	14913
24	792	15051
25	823	15016
26	844	14793
27	869	14656
28	899	14610
29	926	14510
30	959	14516
31	985	14406
32	1012	14325
33	1039	14241
34	1064	14146
35	1090	14053
36	1137	14238
37	1175	14289
38	1207	14269
39	1232	14168
40	1258	14084
41	1281	13979
42	1309	13919
43	1335	13839
44	1360	13751
45	1372	13549
46	1397	13467
47	1424	13414
48	1450	13346
49	1477	13294
50	1505	13250
51	1532	13204
52	1568	13225
53	1593	13164
54	1618	13092
55	1642	13024
56	1668	12970
57	1693	12907
58	1719	12851
59	1749	12829
60	1778	12800
61	1804	12746
62	1830	12696
63	1854	12636
64	1880	12586
65	1906	12535
66	1931	12480
67	1957	12438
68	1983	12388
69	2009	12342
70	2036	12305
71	2061	12253
72	2087	12209
73	2114	12170
74	2140	12131
75	2167	12091
76	2191	12038
77	2216	11989
78	2240	11941
79	2266	11899
80	2291	11855
81	2317	11811
82	2342	11769
83	2367	11724
84	2393	11684
85	2417	11639
86	2443	11601
87	2468	11559
88	2494	11521
89	2520	11480
90	2546	11443
91	2570	11401
92	2596	11365
93	2621	11321
94	2645	11280
95	2671	11244
96	2697	11207
97	2722	11165
98	2747	11129
99	2772	11090
100	2801	11067
101	2828	11035
102	2853	10998
103	2881	10970
104	2909	10943
105	2936	10913
106	2965	10892
107	2991	10857
108	3017	10823
109	3043	10790
110	3068	10753
111	3094	10718
112	3120	10687
113	3146	10653
114	3171	10616
115	3197	10584
116	3222	10548
117	3248	10515
118	3275	10485
119	3300	10452
120	3326	10419
121	3353	10389
122	3379	10357
123	3404	10324
124	3431	10293
125	3457	10263
126	3483	10232
127	3509	10200
128	3534	10166
129	3561	10137
130	3587	10104
131	3613	10073
132	3639	10041
133	3663	10006
134	3689	9975
135	3718	9953
136	3744	9922
137	3770	9889
138	3798	9865
139	3826	9839
140	3852	9808
141	3877	9776
142	3902	9743
143	3927	9709
144	3953	9678
145	3978	9646
146	4005	9617
147	4031	9587
148	4056	9556
149	4083	9527
150	4110	9500
151	4135	9469
152	4160	9436
153	4188	9409
154	4214	9380
155	4240	9351
156	4267	9322
157	4292	9291
158	4318	9262
159	4344	9231
160	4369	9199
161	4393	9166
162	4419	9138
163	4444	9105
164	4469	9074
165	4496	9046
166	4522	9017
167	4548	8988
168	4574	8960
169	4600	8929
170	4625	8899
171	4650	8869
172	4676	8838
173	4701	8808
174	4727	8779
175	4754	8753
176	4780	8722
177	4814	8709
178	4855	8707
179	4884	8683
180	4909	8652
181	4934	8621
182	4959	8590
183	4984	8559
184	5010	8531
185	5037	8504
186	5061	8471
187	5087	8442
188	5113	8413
189	5138	8383
190	5164	8354
191	5189	8324
192	5214	8294
193	5242	8268
194	5266	8237
195	5291	8207
196	5318	8180
197	5345	8153
198	5372	8126
199	5399	8098
200	5424	8068
201	5451	8042
202	5478	8015
203	5504	7986
204	5529	7957
205	5556	7930
206	5581	7900
207	5607	7872
208	5635	7847
209	5668	7827
210	5693	7797
211	5720	7771
212	5746	7742
213	5771	7713
214	5798	7686
215	5824	7657
216	5853	7633
217	5881	7607
218	5910	7584
219	5936	7555
220	5962	7527
221	5988	7498
222	6014	7470
223	6041	7443
224	6065	7413
225	6091	7384
226	6117	7356
227	6142	7328
228	6167	7298
229	6193	7271
230	6218	7241
231	6244	7213
232	6270	7185
233	6296	7158
234	6322	7129
235	6348	7101
236	6374	7073
237	6399	7044
238	6426	7017
239	6451	6989
240	6477	6960
241	6503	6933
242	6528	6904
243	6553	6875
244	6579	6848
245	6604	6819
246	6631	6792
247	6656	6764
248	6682	6736
249	6709	6709
250	6735	6681
251	6760	6653
252	6787	6626
253	6813	6598
254	6839	6571
255	6869	6547
256	6895	6519
257	6920	6491
258	6948	6465
259	6974	6437
260	6999	6409
261	7026	6382
262	7051	6354
263	7077	6326
264	7103	6299
265	7129	6271
266	7154	6243
267	7182	6217
268	7208	6190
269	7233	6162
270	7260	6135
271	7286	6107
272	7311	6079
273	7338	6053
274	7364	6025
275	7390	5997
276	7416	5970
277	7441	5942
278	7466	5914
279	7493	5887
280	7520	5860
281	7548	5834
282	7573	5807
283	7600	5780
284	7626	5753
285	7650	5724
286	7675	5696
287	7701	5669
288	7727	5641
289	7752	5613
290	7779	5587
291	7803	5558
292	7828	5531
293	7855	5504
294	7883	5478
295	7910	5451
296	7937	5425
297	7965	5399
298	7992	5372
299	8019	5346
300	8052	5323
301	8078	5296
302	8104	5269
303	8129	5241
304	8156	5214
305	8185	5189
306	8213	5163
307	8240	5136
308	8264	5108
309	8291	5081
310	8316	5054
311	8343	5027
312	8367	4999
313	8392	4971
314	8417	4943
315	8442	4915
316	8469	4889
317	8494	4861
318	8519	4833
319	8545	4807
320	8574	4781
321	8600	4754
322	8626	4727
323	8652	4700
324	8679	4673
325	8705	4646
326	8730	4618
327	8756	4591
328	8783	4565
329	8808	4537
330	8833	4510
331	8859	4483
332	8884	4455
333	8911	4429
334	8938	4402
335	8963	4374
336	8988	4347
337	9014	4320
338	9040	4293
339	9065	4265
340	9091	4239
341	9116	4211
342	9142	4184
343	9168	4157
344	9194	4130
345	9220	4103
346	9247	4077
347	9272	4050
348	9296	4022
349	9323	3995
350	9348	3968
351	9373	3941
352	9399	3914
353	9424	3886
354	9449	3859
355	9476	3833
356	9501	3806
357	9526	3778
358	9554	3752
359	9579	3725
360	9604	3698
361	9629	3670
362	9655	3643
363	9681	3617
364	9707	3590
365	9732	3563
366	9759	3536
367	9785	3510
368	9810	3482
369	9834	3455
370	9860	3428
371	9885	3401
372	9916	3376
373	9945	3350
374	9970	3323
375	9996	3296
376	10023	3270
377	10051	3244
378	10078	3217
379	10104	3190
380	10130	3164
381	10156	3137
382	10182	3110
383	10216	3086
384	10243	3059
385	10268	3032
386	10295	3006
387	10321	2979
388	10348	2953
389	10376	2926
390	10402	2899
391	10434	2874
392	10465	2849
393	10495	2823
394	10526	2798
395	10556	2772
396	10588	2747
397	10618	2721
398	10649	2695
399	10676	2669
400	10701	2641
401	10726	2614
402	10752	2587
403	10777	2561
404	10803	2534
405	10829	2507
406	10853	2480
407	10879	2453
408	10905	2426
409	10931	2399
410	10959	2373
411	10987	2346
412	11035	2324
413	11063	2298
414	11091	2271
415	11116	2244
416	11142	2217
417	11168	2190
418	11193	2163
419	11219	2136
420	11244	2110
421	11270	2083
422	11297	2056
423	11324	2029
424	11350	2002
425	11376	1976
426	11402	1949
427	11428	1922
428	11455	1895
429	11480	1868
430	11507	1842
431	11534	1815
432	11559	1788
433	11586	1761
434	11612	1735
435	11637	1708
436	11662	1681
437	11687	1654
438	11713	1627
439	11739	1600
440	11763	1573
441	11790	1547
442	11815	1520
443	11841	1493
444	11866	1466
445	11892	1439
446	11918	1413
447	11942	1386
448	11972	1359
449	11998	1333
450	12023	1306
451	12049	1279
452	12075	1252
453	12100	1226
454	12125	1199
455	12152	1172
456	12177	1145
457	12203	1119
458	12231	1092
459	12259	1066
460	12285	1039
461	12311	1012
462	12337	985
463	12364	959
464	12401	933
