iter	RMSE
0	74516.14562
1	72352.82645
2	69998.27058
3	67727.30743
4	65863.41133
5	63935.35631
6	62067.81713
7	60295.16983
8	58670.64561
9	57191.22214
10	55695.52777
11	54281.20099
12	52903.25148
13	51618.94529
14	50319.82466
15	49183.01526
16	48029.51387
17	47053.02076
18	46026.81076
19	45021.48127
20	44044.85785
21	43109.70765
22	42343.49499
23	41446.36725
24	40676.32228
25	39898.77919
26	39200.52656
27	38548.43681
28	37943.32233
29	37284.47683
30	36706.50497
31	36132.45147
32	35688.82851
33	35176.03109
34	34676.21036
35	34212.25286
36	33653.35404
37	33193.5011
38	32717.03529
39	32335.88415
40	31960.80791
41	31631.09362
42	31312.03317
43	30926.86561
44	30615.53783
45	30237.44731
46	29868.4413
47	29499.45124
48	29178.76261
49	28871.2772
50	28611.7745
51	28309.12829
52	28023.41781
53	27817.99484
54	27557.97371
55	27323.67022
56	27055.237
57	26793.54558
58	26629.72566
59	26427.03262
60	26205.87732
61	26028.41947
62	25845.45967
63	25646.31537
64	25446.15344
65	25325.96055
66	25213.04375
67	25039.80342
68	24964.21086
69	24852.98662
70	24688.08874
71	24551.43203
72	24429.80485
73	24270.22918
74	24123.41467
75	24016.57545
76	23862.25925
77	23704.74164
78	23535.65859
79	23408.75757
80	23302.94674
81	23192.92869
82	23064.79653
83	22967.56769
84	22813.71387
85	22710.87245
86	22620.1767
87	22584.00004
88	22474.20196
89	22375.27127
90	22275.49127
91	22244.84675
92	22160.81529
93	22093.92814
94	21968.23091
95	21913.43951
96	21829.21755
97	21700.16509
98	21576.40888
99	21491.38852
100	21419.18101
101	21343.03373
102	21281.18337
103	21208.56378
104	21148.69223
105	21112.66893
106	21045.91567
107	20961.55323
108	20874.57251
109	20806.13406
110	20748.55782
111	20680.8896
112	20658.99425
113	20604.0993
114	20527.302
115	20465.78234
116	20433.37817
117	20368.92428
118	20292.58596
119	20246.40516
120	20175.6579
121	20153.81364
122	20108.89559
123	20058.11498
124	20023.2072
125	19989.67244
126	19946.05967
127	19918.58051
128	19835.26005
129	19796.74697
130	19747.78686
131	19734.59513
132	19682.54305
133	19613.59377
134	19541.62214
135	19517.53049
136	19451.80599
137	19397.74172
138	19349.57105
139	19304.40207
140	19243.71177
141	19193.1912
142	19145.02628
143	19113.39022
144	19056.7396
145	18995.11144
146	18936.19603
147	18902.14073
148	18861.99185
149	18802.58195
150	18765.79526
151	18722.17486
152	18680.62944
153	18617.15087
154	18588.93012
155	18531.61848
156	18483.74813
157	18440.85381
158	18419.2493
159	18386.00363
160	18353.61981
161	18314.9269
162	18282.76202
163	18257.03933
164	18237.02207
165	18209.64661
166	18157.1046
167	18140.18913
168	18112.14368
169	18075.79688
170	18055.22703
171	18040.62888
172	18009.02363
173	17970.71321
174	17926.31224
175	17899.83922
176	17872.70339
177	17836.40457
178	17786.93626
179	17726.9467
180	17677.11985
181	17631.47975
182	17581.65304
183	17555.41994
184	17497.16962
185	17471.88558
186	17439.99306
187	17405.45924
188	17374.04299
189	17355.55466
190	17325.44975
191	17296.20045
192	17283.60319
193	17223.7376
194	17195.68567
195	17172.09743
196	17147.27794
197	17096.62739
198	17075.55563
199	17032.76922
200	16995.80363
201	16950.08963
202	16896.95199
203	16872.04761
204	16840.82979
205	16798.09432
206	16754.55326
207	16731.26798
208	16717.16247
209	16670.67071
210	16635.07101
211	16621.9934
212	16578.76016
213	16549.75555
214	16497.92579
215	16486.16645
216	16461.14465
217	16422.06519
218	16400.58332
219	16381.99193
220	16345.71181
221	16330.15358
222	16304.45299
223	16278.8667
224	16253.13613
225	16204.8352
226	16169.73387
227	16149.56986
228	16134.08488
229	16120.13964
230	16090.43532
231	16075.81403
232	16054.59796
233	16035.23937
234	16025.58505
235	15995.02234
236	15971.11886
237	15948.05794
238	15925.95972
239	15908.90808
240	15877.58762
241	15838.4836
242	15801.21585
243	15794.12328
244	15774.66535
245	15766.37263
246	15755.54022
247	15745.34733
248	15728.62623
249	15689.57986
250	15685.59394
251	15676.33639
252	15653.74759
253	15633.40372
254	15611.25826
255	15608.65246
256	15578.92174
257	15571.35641
258	15547.4819
259	15540.37009
260	15536.11574
261	15512.25771
262	15487.94764
263	15478.48663
264	15465.96008
265	15433.0068
266	15427.12759
267	15394.99826
268	15370.11845
269	15339.97273
270	15317.53768
271	15295.29155
272	15278.87801
273	15270.10326
274	15263.02335
275	15256.23785
276	15230.72905
277	15217.77373
278	15191.9051
279	15187.68193
280	15140.36074
281	15118.75936
282	15092.88099
283	15059.33308
284	15054.82412
285	15050.87509
286	15016.29797
287	15007.62894
288	15001.42609
289	14966.76229
290	14930.69665
291	14908.2793
292	14893.0867
293	14890.27034
294	14873.77008
295	14857.44874
296	14823.12399
297	14799.54792
298	14788.65154
299	14783.10172
300	14756.52948
301	14725.12381
302	14688.92118
303	14684.92423
304	14650.93865
305	14639.21516
306	14620.06807
307	14601.23245
308	14588.17934
309	14585.08993
310	14566.79485
311	14557.21815
312	14529.96915
313	14523.67798
314	14514.6573
315	14485.66614
316	14462.948
317	14458.87628
318	14441.98954
319	14402.92976
320	14392.90389
321	14363.56221
322	14355.67222
323	14330.88134
324	14317.06631
325	14314.8724
326	14311.82195
327	14309.28969
328	14307.51273
329	14280.65839
330	14244.5401
331	14220.44879
332	14194.31663
333	14177.28846
334	14151.69583
335	14112.94451
336	14106.5108
337	14085.96987
338	14062.81137
339	14059.62965
340	14049.9635
341	14042.32564
342	14040.15209
343	14019.29955
344	14012.90173
345	13983.55086
346	13950.76061
347	13939.1614
348	13928.96948
349	13920.28648
350	13917.98294
351	13888.06353
352	13885.12576
353	13855.30535
354	13841.29045
355	13825.72058
356	13815.15954
357	13811.54032
358	13809.56336
359	13779.64742
360	13746.7039
361	13738.06301
362	13705.16548
363	13703.03751
364	13691.39332
365	13690.23108
366	13683.71686
367	13678.14499
368	13641.06856
369	13626.31817
370	13612.33794
371	13609.97803
372	13594.18654
373	13582.94129
374	13552.78079
375	13527.48071
376	13507.76906
377	13475.49099
378	13462.18334
379	13440.09392
380	13423.91717
381	13412.79158
382	13406.93757
383	13397.96682
384	13394.40692
385	13385.32879
386	13383.4143
387	13365.01525
388	13344.08019
389	13322.00373
390	13309.76376
391	13295.42333
392	13279.98338
393	13253.89284
394	13241.40273
395	13217.19188
396	13190.57713
397	13159.22196
398	13151.36368
399	13134.70257
400	13133.87126
401	13100.88281
402	13092.91018
403	13071.9704
404	13053.29264
405	13041.17271
406	13023.48129
407	13022.58119
408	13021.13458
409	13019.72777
410	13006.41031
411	13001.77544
412	12990.92115
413	12961.43726
414	12932.91774
415	12909.11012
416	12882.68868
417	12857.07437
418	12836.66527
419	12828.07801
420	12814.45465
421	12785.16671
422	12763.59191
423	12747.88879
424	12725.80307
425	12714.1345
426	12691.47188
427	12689.76055
428	12685.00482
429	12668.82355
430	12649.94612
431	12640.60198
432	12637.86144
433	12628.01198
434	12605.50647
435	12594.60698
436	12592.83265
437	12577.20262
438	12551.91177
439	12548.54595
440	12529.64071
441	12521.81655
442	12496.55881
443	12489.17949
444	12479.46175
445	12468.54902
446	12448.27584
447	12420.98816
448	12407.62286
449	12405.24423
450	12394.00675
451	12372.63411
452	12358.76744
453	12341.46706
454	12331.61717
455	12318.5724
456	12308.21557
457	12306.08132
458	12281.19868
459	12274.47713
460	12263.29646
461	12257.68761
462	12250.66252
463	12221.97471
464	12198.96061
465	12179.72392
466	12158.15622
467	12144.66598
468	12128.43382
469	12112.23792
470	12100.55222
471	12092.09459
472	12088.3694
473	12065.52961
474	12051.98668
475	12024.39954
476	12011.07677
477	12000.55713
478	11977.8157
479	11963.7245
480	11952.09346
481	11936.33805
482	11929.42389
483	11910.60055
484	11886.61868
485	11862.17342
486	11836.61802
487	11832.58684
488	11819.75395
489	11815.55501
490	11813.89627
491	11804.39263
492	11799.09444
493	11793.04627
494	11786.93641
495	11782.49205
496	11778.79391
497	11776.71018
498	11772.88015
499	11769.17587
