iter	Passed	Remaining
0	169	84684
1	200	49854
2	229	37986
3	258	32030
4	289	28630
5	329	27152
6	366	25796
7	394	24274
8	422	23068
9	457	22435
10	489	21765
11	519	21124
12	548	20556
13	577	20059
14	610	19732
15	644	19495
16	674	19176
17	704	18859
18	733	18564
19	762	18296
20	790	18041
21	820	17826
22	850	17636
23	879	17441
24	909	17277
25	937	17099
26	967	16942
27	998	16830
28	1033	16787
29	1071	16779
30	1128	17077
31	1187	17372
32	1220	17278
33	1250	17135
34	1279	17001
35	1310	16892
36	1339	16766
37	1371	16675
38	1411	16679
39	1445	16619
40	1480	16572
41	1512	16488
42	1542	16391
43	1574	16316
44	1606	16242
45	1637	16162
46	1667	16070
47	1698	15994
48	1728	15909
49	1758	15828
50	1789	15754
51	1820	15682
52	1855	15645
53	1884	15568
54	1916	15503
55	1934	15335
56	1961	15242
57	1991	15172
58	2010	15028
59	2040	14962
60	2072	14913
61	2106	14880
62	2137	14823
63	2168	14773
64	2199	14721
65	2233	14686
66	2264	14636
67	2293	14573
68	2325	14523
69	2355	14469
70	2387	14425
71	2417	14372
72	2446	14311
73	2475	14248
74	2511	14232
75	2540	14176
76	2568	14111
77	2598	14060
78	2629	14010
79	2659	13964
80	2689	13913
81	2718	13860
82	2747	13805
83	2777	13754
84	2808	13712
85	2839	13667
86	2869	13623
87	2901	13584
88	2932	13540
89	2961	13489
90	2991	13444
91	3023	13407
92	3056	13378
93	3082	13313
94	3110	13260
95	3142	13222
96	3172	13180
97	3204	13143
98	3235	13107
99	3266	13066
100	3295	13020
101	3326	12978
102	3355	12934
103	3385	12892
104	3416	12853
105	3448	12817
106	3477	12771
107	3516	12762
108	3544	12715
109	3572	12667
110	3602	12625
111	3632	12583
112	3656	12522
113	3686	12481
114	3716	12443
115	3745	12399
116	3774	12354
117	3803	12313
118	3835	12279
119	3867	12247
120	3898	12210
121	3927	12170
122	3956	12128
123	3986	12089
124	4019	12058
125	4052	12030
126	4085	11999
127	4117	11965
128	4151	11939
129	4184	11909
130	4219	11886
131	4252	11854
132	4282	11816
133	4313	11781
134	4345	11749
135	4378	11719
136	4410	11687
137	4444	11659
138	4477	11629
139	4509	11596
140	4542	11564
141	4573	11531
142	4607	11502
143	4641	11473
144	4679	11457
145	4717	11439
146	4750	11407
147	4782	11375
148	4815	11343
149	4847	11310
150	4878	11274
151	4909	11241
152	4938	11200
153	4966	11157
154	4995	11119
155	5027	11087
156	5057	11048
157	5086	11009
158	5117	10975
159	5149	10941
160	5177	10902
161	5205	10860
162	5232	10818
163	5260	10776
164	5288	10737
165	5318	10701
166	5345	10659
167	5373	10618
168	5400	10577
169	5427	10536
170	5460	10505
171	5492	10474
172	5521	10436
173	5550	10398
174	5580	10363
175	5609	10326
176	5636	10286
177	5666	10250
178	5695	10214
179	5725	10178
180	5758	10148
181	5787	10112
182	5816	10076
183	5845	10039
184	5873	10000
185	5901	9963
186	5930	9927
187	5961	9893
