iter	MultiClass
0	1.90443531
1	1.856656889
2	1.820723994
3	1.77948358
4	1.745175211
5	1.709833382
6	1.688249628
7	1.65627939
8	1.628653873
9	1.60209906
10	1.575166016
11	1.552478785
12	1.527230161
13	1.506853161
14	1.484933608
15	1.46130864
16	1.436413689
17	1.416650879
18	1.395153342
19	1.374611235
20	1.357624014
21	1.336184785
22	1.322695469
23	1.304316255
24	1.286443938
25	1.266996058
26	1.252418339
27	1.235067313
28	1.221040701
29	1.208183288
30	1.193307469
31	1.180369121
32	1.166517511
33	1.151323229
34	1.138154953
35	1.126502067
36	1.115510552
37	1.102010129
38	1.089852017
39	1.076235074
40	1.065094813
41	1.055829693
42	1.044387232
43	1.032624494
44	1.022188739
45	1.013714679
46	1.001742634
47	0.9903397046
48	0.9824913164
49	0.9713932164
50	0.9631829016
51	0.954142339
52	0.9445937322
53	0.9358223534
54	0.9276896271
55	0.9202382141
56	0.9098269351
57	0.8996984155
58	0.8923959363
59	0.8872067957
60	0.8770911263
61	0.8706545805
62	0.8635156625
63	0.8564774878
64	0.8486760015
65	0.8412744614
66	0.8350030196
67	0.8263637955
68	0.8187755545
69	0.8121797225
70	0.8063594047
71	0.8005142487
72	0.7950010041
73	0.7889790733
74	0.7843698661
75	0.7789718564
76	0.7740414629
77	0.7686932167
78	0.7619725607
79	0.7578346016
80	0.7514820603
81	0.7463108448
82	0.7395861848
83	0.7349028771
84	0.7288803641
85	0.7236536744
86	0.7176935719
87	0.7130147314
88	0.7083551277
89	0.703009431
90	0.6977797891
91	0.6938727737
92	0.688969439
93	0.6867889757
94	0.683060336
95	0.6795559058
96	0.6762432218
97	0.6728938525
98	0.6696240343
99	0.6664512785
100	0.6613580759
101	0.6585730076
102	0.6544121693
103	0.6495803797
104	0.6460498052
105	0.6436875865
106	0.6404634716
107	0.6370712734
108	0.6339134801
109	0.6304170705
110	0.6275889803
111	0.6243664189
112	0.6199455707
113	0.6155590847
114	0.6143866166
115	0.6101252936
116	0.6060469974
117	0.6038119998
118	0.6001492233
119	0.5971725218
120	0.5929619787
121	0.5910386497
122	0.5875960399
123	0.5844250348
124	0.5815465099
125	0.5776479969
126	0.5750559165
127	0.5717829303
128	0.5693892002
129	0.5682554764
130	0.5647980163
131	0.562883809
132	0.56005681
133	0.5588336618
134	0.5559435825
135	0.552399175
136	0.5498019254
137	0.5470475241
138	0.5441873481
139	0.542299391
140	0.5404090298
141	0.5392277457
142	0.534545504
143	0.5324928209
144	0.5313779951
145	0.5299589575
146	0.5296044494
147	0.5267302242
148	0.5234337368
149	0.5214451119
150	0.5188967132
151	0.5168237075
152	0.5145695251
153	0.5134453172
154	0.5116804381
155	0.5087181724
156	0.5059447594
157	0.504021171
158	0.5029838316
159	0.5011775487
160	0.4995211895
161	0.4973135502
162	0.4948861744
163	0.4912241741
164	0.4894697599
165	0.4873340338
166	0.4870021339
167	0.4867207356
168	0.4846389704
169	0.4828130113
170	0.4815222881
171	0.4794036351
172	0.4773681818
173	0.4754390332
174	0.4734278141
175	0.4708224467
176	0.4696392319
177	0.4663682784
178	0.4652942386
179	0.4633849598
180	0.4621889884
181	0.458578423
182	0.4575170134
183	0.4562364006
184	0.4549675567
185	0.4526500848
186	0.4513179009
187	0.4489675961
188	0.44827251
189	0.446775913
190	0.4449719228
191	0.4427639317
192	0.4422850577
193	0.44043205
194	0.4395383982
195	0.4369316216
196	0.4335440826
197	0.4327389839
198	0.4299993835
199	0.4292268095
200	0.4282369591
201	0.4275387504
202	0.4263028311
203	0.4254290267
204	0.4234767883
205	0.4221754871
206	0.4214317132
207	0.4197931704
208	0.4186557494
209	0.4179390444
210	0.416519629
211	0.4156806732
212	0.4141727415
213	0.4127649748
214	0.4124825354
215	0.4115141881
216	0.4105287409
217	0.4097548617
218	0.4082070031
219	0.4077335025
220	0.4067899542
221	0.4048581879
222	0.4030025019
223	0.4015384671
224	0.3998511498
225	0.3991190316
226	0.3985346377
227	0.3976294023
228	0.3965850961
229	0.3955138396
230	0.3950090852
231	0.3932203524
232	0.3922398113
233	0.3909401187
234	0.3900409951
235	0.3892200107
236	0.3877990574
237	0.387185979
238	0.3857550624
239	0.3845627196
240	0.3837991879
241	0.3830126565
242	0.3822148312
243	0.3808058025
244	0.3791766355
245	0.3784321732
246	0.3779821163
247	0.3768230474
248	0.3748198517
249	0.3738280612
250	0.3725419589
251	0.3716502132
252	0.3709448618
253	0.3694244371
254	0.3686238686
255	0.3673044163
256	0.3665263345
257	0.3654494921
258	0.3637566522
259	0.3631389325
260	0.3624538205
261	0.3617125576
262	0.3616775971
263	0.3598082444
264	0.3587205171
265	0.3581355053
266	0.3577425113
267	0.3570780222
268	0.3562821218
269	0.3554631646
270	0.3551060219
271	0.3539651259
272	0.3535229245
273	0.3523380904
274	0.351796568
275	0.3509523553
276	0.3508040184
277	0.3503478817
278	0.3492334775
279	0.3486423381
280	0.3483708069
281	0.3478696757
282	0.3465145247
283	0.3455959046
284	0.3442958816
285	0.3440430513
286	0.343000564
287	0.3416228906
288	0.3397622922
289	0.3383666537
290	0.3376858079
291	0.3373106929
292	0.3366566102
293	0.3356350035
294	0.3349543174
295	0.3341730341
296	0.3328234817
297	0.3323655859
298	0.3317850041
299	0.3315856037
300	0.3311876364
301	0.3311610443
302	0.330573343
303	0.3299409412
304	0.3291532944
305	0.3288617661
306	0.3274533046
307	0.3268544965
308	0.3259986224
309	0.32518326
310	0.3245513366
311	0.324320103
312	0.3239104353
313	0.3229803893
314	0.32277265
315	0.3227580029
316	0.3214057191
317	0.3205486111
318	0.3199056741
319	0.3194538121
320	0.3184059122
321	0.3174566289
322	0.3170170128
323	0.3167586418
324	0.3159542221
325	0.3148079747
326	0.3144642228
327	0.3130965512
328	0.3126802944
329	0.3116969619
330	0.3109966985
331	0.3103787194
332	0.3098382922
333	0.308899875
334	0.3080447983
335	0.3074638474
336	0.3071959726
337	0.3065410879
338	0.3061593859
339	0.3058223212
340	0.3050177424
341	0.3047026421
342	0.3037656295
343	0.302857596
344	0.3018230212
345	0.3017306694
346	0.3009557016
347	0.3005656625
348	0.3000733743
349	0.2994371088
350	0.2993156597
351	0.298746921
352	0.2978267966
353	0.2975055695
354	0.2956263912
355	0.2950262445
356	0.2941669305
357	0.2935417009
358	0.2932905267
359	0.2930130624
360	0.2922606988
361	0.2912410541
362	0.289745402
363	0.2893166569
364	0.2883663543
365	0.2874860064
366	0.2867450032
367	0.2860554696
368	0.2852051001
369	0.2838929646
370	0.283631357
371	0.28287472
372	0.2826702345
373	0.2820191944
374	0.2813259163
375	0.2806779331
376	0.2799706962
377	0.2792937104
378	0.2785122075
379	0.2782112852
380	0.2775865654
381	0.2761915457
382	0.2750586307
383	0.2741825285
384	0.2735913342
385	0.2730376411
386	0.2724886036
387	0.2720987101
388	0.2714773164
389	0.2710301757
390	0.2698948524
391	0.2696163351
392	0.2686772448
393	0.2678478826
394	0.2672724736
395	0.2668521632
396	0.2664618948
397	0.2658310003
398	0.2650241117
399	0.2641791718
