yil,km,renk,fiyat,sehir,motor,yakit,paket,4matic
2015,129663.99999999999,Beyaz,1550350.0,İstanbul,180,D,AMG,False
2016,242880.0,Bej,1265000.0,İstanbul,200,CSI,AMG,False
2015,79169.99999999999,Beyaz,1638450.0,Kahramanmaraş,200,CSI,AMG,False
2014,181148.0,Siyah,1372550.0,Kocaeli,180,CDI,AMG,False
2015,211460.0,Beyaz,1337700.0,Nevşehir,180,CDI,AMG,False
2016,174600.0,Beyaz,1418199.9999999998,İstanbul,180,D,AMG,False
2020,88110.0,Kırmızı,2777940.0,İstanbul,180,D,AMG,False
2017,134995.0,Beyaz,1456268.0,Bursa,200,CSI,Comfort,False
2016,198000.0,Mavi,1696774.9999999998,Konya,200,CSI,AMG,False
2015,247995.0,Beyaz,1164950.0,Mardin,180,D,AMG,False
2020,83229.99999999999,Siyah,2347100.0,İstanbul,200,CSI,AMG,False
2020,67963.0,Siyah,2226150.0,İstanbul,200,CSI,AMG,False
2023,46176.0,Kırmızı,2697600.0,Bursa,200,CSI,AMG,False
2019,97920.0,Füme,1945300.0,İstanbul,200,CSI,AMG,False
2014,211860.0,Kırmızı,1385010.0,Ankara,180,D,AMG,False
2013,149776.0,Gri,1410849.9999999998,Bursa,200,CSI,AMG,False
2014,234320.0,Beyaz,1210534.9999999998,İzmir,200,CSI,AMG,False
2021,106364.99999999999,Gri,2328000.0,İstanbul,200,CSI,AMG,False
2013,211119.99999999997,Kırmızı,961400.0,İzmir,200,CSI,AMG,False
2014,348471.99999999994,Beyaz,979221.2499999999,İstanbul,180,D,AMG,False
2022,46597.99999999999,Gri,2809519.9999999995,Kırşehir,200,CSI,AMG,False
2014,137200.0,Beyaz,1273020.0,İstanbul,200,CSI,Style,False
2014,184830.0,Beyaz,1376218.8,Ankara,200,CSI,AMG,False
2013,218160.0,Kırmızı,1424100.0,Kütahya,200,CSI,Urban,False
2020,78275.0,Gri,2430924.9999999995,İstanbul,200,CSI,AMG,False
2014,174720.0,Beyaz,1381380.0,Sakarya,200,CSI,AMG,False
2014,233240.0,Gri,1252350.0,İstanbul,200,CSI,AMG,False
2015,193060.0,Gri,1320000.0,İstanbul,180,D,AMG,False
2014,181300.0,Siyah,1339749.2499999998,İstanbul,200,CSI,AMG,False
2022,36860.0,Mor,2404800.0,İstanbul,200,CSI,AMG,False
2014,184729.99999999997,Gri,1144600.0,İzmir,200,CSI,AMG,False
2023,52800.0,Siyah,2758700.0,Ankara,200,CSI,AMG,False
2020,94715.49999999999,Beyaz,2278675.0,İstanbul,200,CSI,AMG,False
2021,42336.0,Gri,2513610.0,Kocaeli,200,CSI,AMG+,False
2022,42365.4,Beyaz,2699900.0,Ankara,200,CSI,AMG+,False
2015,197760.0,Beyaz,1274400.0,Bursa,200,CSI,AMG,False
2023,48500.0,Füme,5709374.999999999,İstanbul,45,S,AMG,False
2022,57526.0,Beyaz,2652996.3499999996,İstanbul,200,CSI,AMG+,False
2023,43798.265,Gri,2683200.0,İstanbul,200,CSI,AMG+,False
2023,29434.999999999996,Beyaz,2514240.0,Antalya,200,CSI,AMG,False
2022,55473.81,Gri,2542370.0,Kocaeli,200,CSI,AMG+,False
2016,125240.0,Beyaz,1553300.0,Bursa,200,CSI,AMG,False
2015,162426.0,Beyaz,1555994.9999999998,Bursa,200,CSI,AMG,False
2016,121799.99999999999,Beyaz,1559151.0,Ankara,200,CSI,AMG,False
2016,150220.0,Beyaz,1544824.9999999998,Çanakkale,180,D,AMG,False
2022,24912.0,Kırmızı,2722500.0,İstanbul,200,CSI,AMG,False
2015,214080.0,Beyaz,1292800.0,Ankara,180,D,AMG,False
2015,134830.0,Beyaz,1430750.0,Malatya,180,D,AMG,False
2020,32670.0,Siyah,2450000.0,Antalya,200,CSI,AMG,False
2016,201388.0,Siyah,1386130.0,Ankara,180,D,AMG,False
2014,223740.0,Beyaz,1313000.0,Konya,180,D,AMG,False
2014,116380.0,Beyaz,1459220.0,İstanbul,200,CSI,AMG,False
2014,230963.99999999997,Kırmızı,1206950.0,İzmir,180,D,AMG,False
2015,73730.0,Beyaz,1613700.0,Düzce,180,D,AMG,False
2014,161831.88999999998,Kırmızı,1420755.0,Antalya,180,D,AMG,False
2017,240000.0,Beyaz,1275120.0,İzmir,180,D,Comfort,False
2014,225400.0,Beyaz,1288796.2499999998,Eskişehir,180,D,AMG,False
2016,161066.99999999997,Beyaz,1531200.0,Afyonkarahisar,180,D,AMG,False
2016,120540.0,Beyaz,1644299.9999999998,Ankara,180,D,AMG,False
2015,167040.0,Beyaz,1515000.0,Kocaeli,180,CDI,AMG,False
2020,141085.0,Kırmızı,2266647.5,Balıkesir,200,CSI,AMG,False
2017,69119.6,Kırmızı,1872674.9999999998,İstanbul,200,CSI,AMG,False
2014,333300.0,Beyaz,1060399.0,Kayseri,180,D,AMG,False
2016,163930.0,Kırmızı,1430750.0,Gaziantep,200,CSI,AMG,False
2023,43213.86,Gri,2768412.4999999995,İstanbul,200,CSI,AMG+,False
2023,15252.279999999999,Gri,2752375.0,İstanbul,200,CSI,AMG,False
2019,170880.0,Beyaz,2134000.0,İzmir,180,D,AMG,False
2023,16490.0,Beyaz,2932634.9999999995,İstanbul,200,CSI,AMG,False
2023,6499.0,Siyah,2979500.0,Denizli,200,CSI,AMG+,False
2018,90156.99999999999,Beyaz,1984650.0,Nevşehir,200,CSI,AMG,False
2014,212729.99999999997,Beyaz,1271313.987,Ankara,180,D,AMG,False
2014,115709.99999999999,Gri,1371260.0,İstanbul,200,CSI,AMG,False
2015,256036.0,Beyaz,1212924.9999999998,İstanbul,200,CSI,Style,False
2015,137768.0,Siyah,1551030.0,İstanbul,200,CSI,AMG,False
2014,68310.0,Beyaz,1679824.9999999998,Ankara,180,D,AMG,False
2015,141680.0,Beyaz,1344000.0,İstanbul,180,D,Urban,False
2017,136397.25,Siyah,1443018.4999999998,İstanbul,180,D,Comfort,False
2017,133867.36000000002,Siyah,1395830.0,İstanbul,180,D,Comfort,False
2015,94080.0,Kırmızı,1488000.0,İstanbul,180,D,AMG,False
2023,22264.0,Beyaz,2861600.0,Ankara,200,CSI,AMG,False
2015,218160.0,Kırmızı,1029000.0,İstanbul,200,CSI,Urban,False
2022,53530.0,Füme,2690908.0,İstanbul,200,CSI,AMG+,False
2013,183714.99999999997,Gri (Gümüş),1200000.0,Bursa,200,CSI,AMG,False
2017,66330.0,Siyah,1930300.0,İstanbul,200,CSI,AMG,False
2023,6187.5,Beyaz,3041819.0,Bursa,200,CSI,AMG,False
2015,231290.0,Beyaz,1358000.0,Ankara,180,CDI,AMG,False
2014,131300.0,Gri,1428329.9999999998,İstanbul,200,CSI,Style,False
2014,183330.0,Beyaz,1398162.4999999998,Eskişehir,200,CSI,AMG,False
2013,156170.0,Beyaz,1091001.0,İstanbul,200,CSI,AMG,False
2013,197534.99999999997,Kırmızı,1123650.0,Ankara,200,CSI,Urban,False
2024,11640.0,Füme,3064050.0,İzmir,200,CSI,AMG,False
2017,169004.0,Kırmızı,1695100.0,Mersin,180,D,AMG,False
2015,166980.0,Beyaz,1497760.0,Bursa,180,D,AMG,False
2018,27720.0,Beyaz,2282060.0,Mersin,200,CSI,AMG,False
2016,151500.0,Lacivert,1503500.0,Tekirdağ,180,D,AMG,False
2022,42545.99999999999,Gri,2747250.0,Balıkesir,200,CSI,AMG,False
2013,252500.0,Beyaz,1163250.0,Antalya,200,CSI,Urban,False
2014,231768.322,Beyaz,1268749.9999999998,İstanbul,180,D,AMG,False
2014,258060.0,Beyaz,1239700.0,Samsun,200,CSI,AMG,False
2014,117665.0,Beyaz,1275550.0,İstanbul,180,D,AMG,False
2013,147752.0,Beyaz,1560450.0,Kütahya,200,CSI,AMG,False
2013,287320.77,Beyaz,1096100.0,Mersin,200,CSI,AMG,False
2022,51764.99999999999,Siyah,3641734.9999999995,İstanbul,200,CSI,AMG,False
2013,248460.0,Beyaz,1306800.0,Balıkesir,200,CSI,AMG,False
2017,189150.0,Siyah,1513990.0,Adana,180,D,AMG,False
2016,178770.0,Beyaz,1501184.9999999998,Adana,180,D,AMG,False
2016,89240.0,Beyaz,1782879.9999999998,Antalya,200,CSI,AMG,False
2014,161700.0,Beyaz,1651189.9999999998,İstanbul,200,CSI,AMG,False
2018,99469.99999999999,Beyaz,1639440.0,Elazığ,180,D,Comfort,False
2016,91762.0,Beyaz,1765940.0,Ankara,200,CSI,AMG,False
2014,220616.0,Beyaz,1199220.0,İzmir,180,CDI,Urban,False
2017,119040.0,Beyaz,1616510.0,Antalya,180,D,AMG,False
2016,130290.0,Beyaz,1656254.9999999998,Antalya,180,D,AMG,False
2015,172710.0,Gri (metalik),1401400.0,Eskişehir,200,CSI,AMG,False
2015,173052.0,Kırmızı,1392000.0,İstanbul,180,CDI,AMG,False
2018,98980.0,Beyaz,1564200.0,Elazığ,180,D,Comfort,False
2016,165620.0,Kırmızı,1258599.9999999998,İstanbul,180,D,AMG,False
2014,144210.0,Beyaz,1406500.0,Kocaeli,180,CDI,AMG,False
2020,63360.0,Siyah,2395200.0,İstanbul,200,CSI,AMG,False
2016,210490.0,Beyaz,1339799.9999999998,Gaziantep,180,D,AMG,False
2020,114187.49999999999,Siyah,2268700.0,İstanbul,180,D,AMG,False
2013,140070.0,Beyaz,1357300.0,Konya,200,CSI,AMG,False
2013,192280.0,Gri,1269100.0,Ankara,200,CSI,Urban,False
2020,95128.0,Siyah,2160000.0,İstanbul,200,CSI,AMG,False
2015,184320.0,Beyaz,1370249.9999999998,Ankara,200,CSI,Urban,False
2014,294720.0,Siyah,1400699.9999999998,Isparta,200,CSI,AMG,False
2014,119180.0,Beyaz,1416200.0,Ordu,180,CDI,AMG,False
2017,151470.0,Beyaz,1516988.0,İzmir,180,D,Comfort,False
2023,76230.0,Beyaz,2568000.0,Tekirdağ,200,CSI,AMG,False
2015,179340.0,Gri,1330780.0,Gaziantep,180,D,AMG,False
2023,35890.0,Füme,2811600.0,Balıkesir,200,CSI,AMG,False
2015,174064.0,Siyah,1290300.0,Antalya,180,D,AMG,False
2017,58580.0,Beyaz,1550400.0,İstanbul,200,CSI,Comfort,False
2014,186200.0,Beyaz,1406500.0,Muğla,180,D,AMG,False
2016,144716.0,Füme,1516800.0,Ankara,200,CSI,AMG,False
2016,110580.0,Lacivert,1709268.0,Ankara,180,D,AMG,False
2015,124740.0,Beyaz,1440000.0,Bursa,180,CDI,AMG,False
2018,156309.99999999997,Füme,1547874.9999999998,Mersin,180,D,Comfort,False
